Frequency	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''
Hz																		
		0.49 V		0.69 V		0.89 V		1.09 V		1.29 V		1.49 V		1.69 V		1.89 V		2.09 V
10000	-7.6435694691376E-4	6.25315345389754E-4	-5.44053567625547E-4	6.92487149401303E-4	-6.54537689522455E-4	5.53218886534696E-4	-0.00112050265521459	0.00107776506455726	-0.0010032739752378	0.00122128699905749	-9.08008143266652E-4	6.73307820551885E-4	-7.15748913060062E-4	4.68407896945972E-4	-5.51776854272386E-4	7.49018961041077E-4	-5.4912833905223E-4	7.01779595145307E-4
7943.28234724282	-4.36108306581428E-4	5.00547904560399E-4	-6.13024784663211E-4	4.2524924899893E-4	-4.68314231322805E-4	4.33505692501511E-4	-8.16447271909864E-4	6.3231810377104E-4	-9.31240686737478E-4	9.00178924945949E-4	-6.33996090514846E-4	3.48903822846689E-4	-7.25532138458376E-4	3.18688972969598E-4	-5.28419293501128E-4	4.1701144761005E-4	-7.28550335356364E-4	3.85226947561709E-4
6309.57344480194	-2.13802705161065E-4	2.71793945689882E-4	-2.78166907181045E-4	2.23006348092213E-4	-3.96038414649692E-4	3.21416889914063E-4	-3.58620540395857E-4	6.05807094076545E-4	-5.61871170209728E-4	4.65030952585626E-4	-3.86156931121317E-4	1.40465047312694E-4	-3.65119490395008E-4	2.39133776663305E-4	-5.6267901344931E-4	1.91245410721784E-4	-3.84262435217638E-4	1.66684729213524E-4
5011.87233627273	-1.70325943833499E-4	2.12931623777512E-4	-2.97205188910544E-4	1.6082639712098E-4	-2.73224955219725E-4	1.22222469749312E-4	-3.09307843795411E-4	3.68053140557016E-4	-2.91291074940667E-4	1.28358437291972E-4	-2.76978814828463E-4	1.27119221674768E-4	-1.10183715705942E-4	1.48239630070829E-4	-3.29594799906099E-4	9.29409220850762E-5	-2.00779670239223E-4	-7.32220536389293E-5
3981.07170553498	-9.4083417020188E-5	1.0733139311842E-4	-1.25794856285344E-4	1.21685154622855E-4	-2.80640255893117E-4	1.57657791732401E-5	-4.21349653277199E-4	1.41839380027576E-4	-1.83816735038346E-4	-8.78995578026143E-5	-1.98555453226674E-4	-1.17979064625996E-4	-1.82740075519653E-4	-4.16701840641226E-5	-3.38555187680214E-4	-2.43499170567744E-4	-3.57686632331449E-4	2.23488760039298E-7
3162.27766016838	-1.27109722967325E-4	8.11858812325695E-5	-1.69617967535502E-4	1.19217402410614E-4	-1.44553255463255E-4	1.99533017706168E-5	-2.42117522732729E-4	-3.03811236702101E-5	-2.56580861492008E-5	-2.83985734974741E-4	-2.04805477417135E-4	-1.64416768285336E-4	-1.76291465777915E-4	-2.31040815753111E-4	-1.61006448963768E-4	-3.06343480371445E-4	-2.76994924949659E-4	-5.33758788568279E-6
2511.88643150958	-1.22814986993071E-4	2.32335598625162E-5	-2.25593981018882E-4	5.73135735461756E-5	6.68039706215591E-6	-5.43692070273074E-5	-2.45626294935437E-4	-3.33929551462073E-6	-1.59483367377084E-4	-3.07724179373106E-4	-1.84466866691547E-4	-2.93165894842683E-4	-2.70782924400837E-4	-3.3845343890581E-4	-3.25120198882475E-4	-3.04350475840109E-4	-2.88001096251901E-4	-2.44766966168191E-4
1995.26231496888	-2.29953858912795E-5	-2.54333041977362E-5	-6.15419864799363E-5	-4.37896023895597E-5	-1.01252246376667E-4	-7.76101039833181E-5	-3.10692402332476E-4	-3.21879287380343E-4	-1.34099456995106E-4	-4.99684520617973E-4	-1.13543635927168E-4	-4.28956892341983E-4	-1.85156779740221E-4	-4.36521377730109E-4	-2.36930543905875E-4	-4.87150148412833E-4	-2.53611776382859E-4	-3.52762018015103E-4
