Frequency	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''
Hz																		
		0.49 V		0.69 V		0.89 V		1.09 V		1.29 V		1.49 V		1.69 V		1.89 V		2.09 V
10000	-2.45147344685423E-4	2.17011159524996E-4	3.49533522592657E-5	1.12262401150795E-4	-2.4734414722547E-4	4.95821149052282E-5	-1.51234213377532E-4	5.42211812032467E-5	-2.22435099629579E-4	1.69530444142432E-4	-6.76584562004155E-5	9.56630333136325E-5	-1.54676106949805E-4	9.50702253923E-5	-2.59276956431962E-4	1.41886244312118E-4	-3.01937219473204E-4	-9.1616604654458E-5
7943.28234724282	-2.66751483032873E-4	2.05732107466512E-4	-7.34610811748399E-5	-4.58791544192269E-6	-1.68470621474688E-4	-1.3845081509114E-4	-1.00777621632869E-4	9.99799508779752E-5	-1.63842123428952E-4	1.44498160989677E-4	-1.92344594076956E-4	-2.49391190884661E-4	-5.55242428947098E-5	2.59987738841753E-6	4.08143282487901E-5	-2.41695906248757E-4	-1.58854220553683E-4	-4.55710716546863E-4
6309.57344480194	-8.83995051197525E-5	1.54648333301205E-4	-2.10496625210409E-4	6.15399937414148E-5	3.06079426314821E-5	-5.1020546011215E-5	-1.78927211365737E-4	-7.08406653244219E-5	-3.17675838468312E-4	-8.51346743908613E-6	-3.29152923368064E-4	-1.06545020284022E-4	-1.87912502730175E-4	-2.57856034385359E-4	-2.59953168629436E-4	6.74123112802719E-5	-1.15943254958893E-4	-2.37895126785934E-4
5011.87233627273	-1.10460096048651E-4	4.95434993278699E-6	-8.41411298599826E-5	1.41195045486573E-6	-2.37215448223127E-4	-1.95554200529419E-4	-1.23054245531832E-4	-1.23451143569959E-4	-1.96106519784163E-4	-2.06894809304322E-4	-1.93484081383312E-4	-9.0761699668012E-5	-8.20023425003987E-5	-2.14434504866698E-4	-1.24498519389799E-4	-1.39563976378518E-4	1.85212633295819E-5	-4.79805632862477E-5
3981.07170553498	-1.63489267973819E-4	-7.4152470311142E-5	6.25420506616407E-5	-9.91700068304882E-5	-3.38508402015715E-5	-3.04311944499894E-4	-1.9517821319387E-4	-3.25580306041521E-4	-2.7876984455433E-4	-2.09100859705289E-4	-3.07236539033279E-4	-3.02483582126661E-4	-1.37358107163872E-4	-2.45127777979388E-4	-1.33083196000261E-4	-4.48966510964321E-4	-2.15616478360685E-4	-3.31691599034571E-5
3162.27766016838	-6.15407891412173E-5	-1.51391866326381E-4	-6.41946802926147E-5	-1.60419675690028E-4	-1.68308641008406E-4	-2.41706674153536E-4	-2.76437558918424E-4	-4.87900996153757E-4	-2.88102064889763E-4	-3.0101180257909E-4	-4.00273319669515E-4	-3.4887308082229E-4	-1.1775987960979E-4	-3.18687502375107E-4	-3.16433092563031E-4	-3.23186179568761E-4	-1.67650199716214E-4	-5.08255639242276E-4
2511.88643150958	4.30952567321839E-5	-2.65928799834941E-4	-1.28100149068144E-4	-2.9402862496329E-4	-1.12860590736558E-4	-4.24553542359799E-4	-4.3675405071176E-4	-5.39149727350849E-4	-3.83901036534702E-4	-6.09205690778781E-4	-2.29963076769909E-4	-6.87118736781217E-4	-1.25598255799012E-4	-6.38364808546676E-4	-3.27778725215435E-4	-4.72528179015094E-4	-2.29155911697871E-4	-5.13239033514299E-4
1995.26231496888	7.75671305535003E-6	-1.24037486532249E-4	-6.46256406018756E-5	-3.71055702093253E-4	-2.75028762636708E-4	-5.85887862682537E-4	-2.63520185400632E-4	-8.44840243574982E-4	-3.43780290050065E-4	-8.79082431203819E-4	-4.59893834738178E-4	-8.55000760630876E-4	-2.20358319695315E-4	-8.29930342074879E-4	-1.26364292083474E-4	-4.94600736574626E-4	-1.58332185449303E-4	-4.95176991101507E-4
