Frequency	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''
Hz																		
		0.49 V		0.69 V		0.89 V		1.09 V		1.29 V		1.49 V		1.69 V		1.89 V		2.09 V
10000	-6.29676271645153E-4	5.10679428683869E-4	-6.4731982383929E-4	5.69156355347858E-4	-5.94071254873907E-4	3.89347976848664E-4	-6.0712973102135E-4	5.12134121351163E-4	-6.52648742297257E-4	4.64770662873248E-4	-5.84299197198071E-4	4.58872287225247E-4	-5.07724959891049E-4	5.48344188869171E-4	-5.61620669064707E-4	5.26515208614089E-4	-3.6079822859241E-4	4.60074335161109E-4
7943.28234724282	-4.59662647994033E-4	3.35707675438502E-4	-2.55310081300249E-4	3.04784445286777E-4	-4.34668185574962E-4	3.21180977455623E-4	-4.35009132426258E-4	2.34871399541608E-4	-3.11744608120493E-4	2.12015767599592E-4	-5.31479217558069E-4	4.23930988419815E-4	-4.0179688340153E-4	3.57041067734597E-4	-2.94622193156763E-4	1.4584070439101E-4	-6.50872723382999E-4	1.73584751203637E-4
6309.57344480194	-2.62729747924062E-4	2.46082129886311E-4	-3.25947800236878E-4	2.59742354773784E-4	-3.38124586136665E-4	1.26258218156447E-4	-3.48130629101569E-4	1.0120834812969E-4	-4.05316920977838E-4	2.21681480282719E-4	-2.97780126753291E-4	2.25802889067452E-4	-3.8266374604499E-4	1.87946519059981E-4	-1.79746951282323E-4	1.76092974522102E-4	-1.82126241073493E-4	1.05546462679584E-4
5011.87233627273	-1.01546927016099E-4	1.63153533201658E-4	-2.04957325454969E-4	1.88177791128641E-4	-1.76518423869013E-4	7.89845296635762E-5	-2.30865725558862E-4	1.04186944362662E-5	-2.6920710633125E-4	1.72164316986463E-5	-3.6856603905431E-4	2.16960177707133E-5	-2.62903538363993E-4	9.98433613880925E-5	-2.49971999222395E-4	1.32368289474069E-4	-2.41748979837354E-4	1.20598442295334E-4
3981.07170553498	-6.14479622397417E-5	1.05800576040641E-4	-2.26015677679575E-4	3.83774153826936E-5	-1.56759355884797E-4	7.38847844594075E-6	-1.59223673182428E-4	-9.88345748482324E-5	-3.21184964380872E-4	-5.73597530637126E-5	-3.23944018749204E-4	5.30236647154344E-6	-3.35171995176163E-4	8.08739711307831E-5	-1.9470119442222E-4	1.23299037407116E-4	-1.26680879751387E-4	8.54249657013029E-5
3162.27766016838	-1.87951809836192E-4	1.60094546064613E-4	-1.42281743165586E-4	5.31978730401337E-5	-2.73957127253257E-5	-1.10505656588076E-4	-1.9388897173716E-4	-2.37182788061165E-4	-2.53916133334581E-4	-1.95198270935433E-4	-2.50493334179443E-4	-1.36146411354884E-4	-3.05737547872736E-4	9.4832423518381E-5	-1.84663720823285E-4	5.41949911808757E-5	-2.58803244582897E-4	4.41852863557231E-5
2511.88643150958	-9.3861458443825E-5	1.08776795098465E-4	1.36371279090909E-5	-2.78262865727699E-5	-1.58736813707683E-4	-2.3161923194446E-4	-1.46789525420757E-4	-4.45746178843668E-4	-2.64317038177308E-4	-3.92660671293949E-4	-3.75719093232111E-4	-3.05493198470517E-4	-2.8939825618626E-4	-1.22884825497598E-4	-3.21927479072241E-4	-5.35509874436147E-5	-2.20657626545284E-4	8.34152530900954E-5
1995.26231496888	-1.47546572208713E-4	-9.24380536283694E-5	-5.98786599009746E-5	-9.08076445218043E-5	-1.27880007982027E-4	-2.10021768377158E-4	-2.97281788702798E-4	-4.47961825268268E-4	-4.04051948903478E-4	-6.25508782394171E-4	-5.16906095840724E-4	-4.32453271734908E-4	-3.3945570371106E-4	-2.77310997617143E-4	-2.11248859313581E-4	-1.39544963662845E-4	-9.29726218667429E-5	-1.24879407881486E-4
