Frequency	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''
Hz																		
		0.49 V		0.69 V		0.89 V		1.09 V		1.29 V		1.49 V		1.69 V		1.89 V		2.09 V
10000	-2.50874231892364E-4	2.71165152161289E-4	-4.01382927233992E-4	1.88089771507687E-4	-3.65734178250029E-4	1.02074914093456E-4	-2.42513099738512E-4	-1.04574055316804E-4	-3.84626320933309E-4	-2.5250251446737E-4	-2.29363661548824E-4	-1.61120953065656E-4	-5.10860601016161E-4	-1.39016580690615E-4	-2.472276770832E-4	8.5386194454874E-5	-2.30465230909476E-5	2.42533142739502E-6
7943.28234724282	-7.07492750947426E-5	1.71998204385972E-5	-2.47264785039019E-4	-2.08168882804973E-4	-2.21890117016537E-4	5.92223276223008E-5	-4.31202345810676E-4	-1.53528006487533E-4	-2.44730875612027E-4	-2.06265883355129E-4	-3.1260037474365E-4	-4.44992435838088E-4	-8.76690235993665E-4	-5.55582637340527E-4	1.75135680116074E-4	-5.95363010972991E-4	-2.43069640550573E-6	2.40218232967302E-5
6309.57344480194	-6.37697131988274E-5	-3.063558007617E-5	-4.18716072178705E-5	1.50279732114317E-5	8.86642051381239E-5	-1.73549100716011E-4	-7.35247300850524E-5	-3.17899906598326E-4	-2.8855582264759E-4	-4.3139555743504E-4	-2.70616587782289E-4	-6.16422290215808E-4	-3.10369022385819E-4	-3.44640316127773E-4	-8.01357070419059E-6	-4.82821908184993E-4	9.49011226623162E-6	-2.14584421968416E-5
5011.87233627273	-1.4864865139798E-4	1.07856821116908E-4	-1.94657697166402E-4	-1.66115337195912E-4	3.58170804380299E-5	-3.04488164782629E-4	-2.58624470172422E-4	-3.6123880734016E-4	-2.16318204241892E-4	-7.79281152354548E-4	-3.87069282443788E-4	-6.34529546290634E-4	-4.90858717973279E-4	-6.33674077368779E-4	-4.47466492438536E-4	-6.18866913159655E-4	-2.36581373015829E-5	-3.88798330054107E-6
3981.07170553498	1.83894136888768E-4	-1.30222269571028E-4	6.0626152195696E-5	-1.48520063875805E-4	-2.69983439101956E-4	-4.46649605361575E-4	-9.76295965321909E-5	-8.33633114079407E-4	-1.87547479795274E-4	-6.74555299020717E-4	2.02713818953337E-6	-8.51203887164935E-4	-4.32862527170684E-4	-8.80548808181271E-4	-2.32276414743337E-4	-7.97890378487866E-4	-1.16143184916708E-5	-4.20759974777271E-5
3162.27766016838	1.16480524402302E-4	2.30314372263411E-4	1.88291652619204E-5	-1.66887035077291E-4	-1.81385322857061E-4	-6.927499648694E-4	-1.09314053218274E-4	-0.00101656549329624	-2.36680788112416E-4	-0.00111192378927972	-3.98018639396845E-4	-9.88074535270242E-4	-4.63470986481617E-4	-0.00136348882670248	-5.49479963193901E-4	-6.07787788973406E-4	7.98049058955969E-6	-4.94526916024194E-6
2511.88643150958	-3.37098286418991E-4	9.42282548000453E-6	2.53242388085415E-5	-4.88765370887414E-4	-3.71232971451213E-5	-0.0010161322030611	-1.29066918793974E-4	-0.00118799755377472	-2.27427808543392E-4	-0.00143784842527616	-6.22618066395193E-5	-0.00163943114889477	-3.0059992047657E-4	-0.00163958971378958	-6.29526013509964E-4	-0.00150002093032212	-6.67115702954259E-6	-3.09248662949719E-5
1995.26231496888	2.42444731967738E-5	-2.90024184886635E-4	5.18333765591975E-5	-3.26486088136459E-4	7.66482090692435E-5	-9.91688958854202E-4	7.18747405681825E-6	-0.00156909990054843	-3.47555340564088E-4	-0.00176788002142183	-3.4790711234242E-4	-0.00185331899602992	-3.9616862502925E-4	-0.00223763672154279	-5.26457980702013E-4	-0.00183004712160264	-3.48612631396993E-5	-4.82542466273636E-5
