Frequency	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''
Hz																		
		0.49 V		0.69 V		0.89 V		1.09 V		1.29 V		1.49 V		1.69 V		1.89 V		2.09 V
10000	-1.98049896110804E-5	2.37762248895168E-5	-2.11054561290465E-5	2.07374058414543E-5	-1.74994528024117E-5	1.67310696242703E-5	-1.8959506379287E-5	1.64735334058134E-5	-2.25218919791561E-5	1.93147565401575E-5	-1.68915138050933E-5	1.45508310709629E-5	-2.46975099742478E-5	1.41269147495177E-5	-2.01343917603979E-5	2.00109988061702E-5	-4.12160603877417E-7	2.65027787935984E-7
7943.28234724282	-1.32330928115092E-5	1.56037277677918E-5	-1.19962280636629E-5	1.24539996264242E-5	-1.26975356057303E-5	1.12921011312936E-5	-1.06371675037437E-5	1.25550322467153E-5	-1.14138201557655E-5	1.25469859225289E-5	-1.88972146218758E-5	1.07927361630852E-5	-1.32156749700575E-5	1.51650305764818E-5	-9.86867213946226E-6	9.59122743693224E-6	-7.57040362650152E-7	-1.06492865788352E-7
6309.57344480194	-8.39907340973699E-6	1.17988178929886E-5	-1.13420112648197E-5	1.09163838189897E-5	-1.31191405213888E-5	7.2654981796665E-6	-1.17448566852663E-5	5.44691923849211E-6	-9.70131151362145E-6	7.47313190685317E-6	-1.15830159543476E-5	5.41322212355573E-6	-9.424761087986E-6	3.73579096213921E-6	-9.48809017245445E-6	4.98794625238896E-6	-5.28127985689341E-7	3.21859260068201E-7
5011.87233627273	-8.68427496583815E-6	1.02717281007862E-5	-7.24489959736416E-6	4.55485982123661E-6	-8.39889016556465E-6	3.32533591598574E-6	-9.87719853397764E-6	1.15865916855727E-6	-9.82880498388106E-6	2.43506102931259E-6	-7.10622182083479E-6	1.62446096662667E-7	-1.149367242747E-5	-2.76113967433485E-6	-9.66677917862874E-6	1.40135043315882E-6	-5.71570739979801E-7	-7.29258548508776E-8
3981.07170553498	-4.46226127975062E-6	6.24085895605564E-6	-5.60095437823236E-6	1.99045226828641E-6	-6.6787033996065E-6	3.06030815500276E-7	-8.48564513942925E-6	-4.52400284098176E-6	-7.77078894191899E-6	-4.02448516859009E-6	-8.37154076742272E-6	-2.50600896286052E-6	-9.19213766300732E-6	-6.0770938249592E-6	-5.97622984671824E-6	-3.6303046132789E-6	-8.16126582577251E-7	-3.3998186496331E-7
3162.27766016838	-4.5599586126795E-6	3.86104452496134E-6	-3.24020685713232E-6	-2.13439943877824E-6	-6.74931468336798E-6	-5.93188026047248E-6	-1.07067790247348E-5	-4.76169969252465E-6	-7.6253018130892E-6	-8.66759658975281E-6	-1.08801756434559E-5	-9.98734634599296E-6	-5.11364729688962E-6	-1.04359310455276E-5	-5.4046474562209E-6	-8.32821240565345E-6	-8.51174410281041E-7	-1.68733154705696E-6
2511.88643150958	-2.71195422754775E-6	2.93844725988325E-6	-2.46471106087969E-6	-7.1940402129987E-6	-6.11372376469505E-6	-9.48254684644127E-6	-4.81938943554008E-6	-1.39241829409406E-5	-6.78040635357389E-6	-1.57327677311035E-5	-7.82629025556285E-6	-1.47505735426004E-5	-9.13068202625427E-6	-1.94945332210667E-5	-7.12301315084924E-6	-1.59401202698733E-5	-1.41585389305432E-6	-2.99151998952463E-6
1995.26231496888	-2.7389918763852E-6	4.54259970825703E-7	-3.34590896120523E-6	-7.48231625320883E-6	-4.5479925001939E-6	-1.68496870961283E-5	-7.98259638005879E-6	-1.72238516353814E-5	-8.80738885022449E-6	-2.12134020679879E-5	-1.00590613228408E-5	-2.22087533589867E-5	-6.25891539295139E-6	-1.78927555303347E-5	-7.57547834213293E-6	-2.07511655685097E-5	-4.37369731009504E-6	-1.93769540203295E-5
