Frequency	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''
Hz																		
		0.49 V		0.69 V		0.89 V		1.09 V		1.29 V		1.49 V		1.69 V		1.89 V		2.09 V
10000	-2.64471975725784E-5	2.70682541959433E-5	-2.28314766988221E-5	2.86212157898378E-5	-2.54154485943443E-5	2.40214101024632E-5	-2.35905349448709E-5	2.30790761846604E-5	-2.45230218295866E-5	2.24095773469861E-5	-2.40669075787619E-5	2.63554745034725E-5	-2.67886515758484E-5	3.14269382668468E-5	-2.48656775878598E-5	2.39972434984304E-5	-2.96354610570689E-5	2.90968618031835E-5
7943.28234724282	-1.3977609705536E-5	2.21415004380736E-5	-1.77647751171735E-5	2.21784014062083E-5	-1.45448187080643E-5	1.23651947675749E-5	-1.91983142718935E-5	1.8538247195435E-5	-2.17932018461896E-5	1.5072910690921E-5	-2.27678933135702E-5	1.60873504717573E-5	-1.72192630529693E-5	2.03521241382258E-5	-2.1545844160809E-5	1.61589428930141E-5	-2.13090100116525E-5	1.40768289631402E-5
6309.57344480194	-1.31216103198852E-5	1.69461092170189E-5	-1.51108079490082E-5	8.24536917881615E-6	-1.3743930022896E-5	9.99711437466035E-6	-1.47408713958376E-5	9.60813655361572E-6	-1.34377239619511E-5	8.77080089934466E-6	-1.64122415027737E-5	1.23682425112415E-5	-1.49242295701733E-5	1.15868165239695E-5	-1.39362911531826E-5	7.32914163768873E-6	-1.31972373372327E-5	4.63648936619942E-6
5011.87233627273	-1.06051119870891E-5	7.53300827766104E-6	-7.31017612406544E-6	5.15165179069037E-6	-1.15586479363235E-5	2.84400560882501E-6	-1.3443507117985E-5	6.40817106098851E-6	-1.19585414969325E-5	2.29761463081166E-6	-8.19246117181777E-6	4.70218700882214E-6	-1.4705725080458E-5	1.77536623916515E-6	-1.22393768927305E-5	6.60635193670651E-7	-1.20962929400699E-5	2.68646973618515E-6
3981.07170553498	-8.44898331954492E-6	4.76547679562332E-6	-6.80445260611302E-6	2.777644314733E-6	-9.35146904272197E-6	-2.32077686468983E-6	-1.107097314103E-5	-1.16637932930874E-6	-1.27982049480665E-5	-2.71554590938714E-6	-1.3437732128149E-5	-4.68883051540691E-6	-1.21119816719371E-5	-1.00797812253302E-5	-1.12708118044466E-5	-1.38609500334959E-6	-8.16307759661596E-6	-3.50974519534907E-6
3162.27766016838	-6.82768426005629E-6	-2.32926694140292E-6	-5.37668125731368E-6	-3.79573511366148E-6	-6.93034179095822E-6	-8.18667417468202E-6	-9.22535266817807E-6	-9.58889165344652E-6	-7.89185897222426E-6	-9.82702469322812E-6	-1.19616458899317E-5	-1.34578544053422E-5	-1.0582820227195E-5	-9.54048548368578E-6	-1.02666428705057E-5	-5.87230573724128E-6	-9.02721691135257E-6	-1.28283103506857E-5
2511.88643150958	-5.60160920352308E-6	-2.97669022621403E-6	-2.52570852816796E-6	-9.45757333733843E-6	-4.70390712118644E-6	-2.15264258897912E-5	-9.90509710063881E-6	-1.47761141083011E-5	-1.00514398896404E-5	-1.91105476905069E-5	-9.09356279892166E-6	-1.77891852544962E-5	-6.76476705056992E-6	-1.62825806377506E-5	-8.69024589946383E-6	-1.65168515112553E-5	-6.49723543513764E-6	-1.50003520175881E-5
1995.26231496888	-1.45266326003187E-6	-4.54312912873214E-6	-1.23195304059218E-6	-1.06474978993796E-5	-2.67669558955666E-6	-2.18910336221206E-5	-8.35617797257925E-6	-2.21063601587912E-5	-1.2295906969815E-5	-2.45285073744556E-5	-8.20545379958926E-6	-2.38177835475316E-5	-1.27743858903891E-5	-2.4264761908392E-5	-5.02443162826661E-6	-2.4945957157403E-5	-8.86885291049818E-6	-2.47509041317125E-5
