Frequency	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''
Hz																		
		0.49 V		0.69 V		0.89 V		1.09 V		1.29 V		1.49 V		1.69 V		1.89 V		2.09 V
10000	-1.86357993034891E-4	2.0072066720895E-4	-1.86306167834685E-4	2.16739021643088E-4	-1.73845199901337E-4	1.99265502132094E-4	-1.82104721850823E-4	1.85208492230721E-4	-2.09427279250116E-4	1.89228539743585E-4	-1.89642648363582E-4	2.03127259698069E-4	-1.75468743776683E-4	1.94988422724738E-4	-1.48537559958797E-4	2.02402668620961E-4	-1.63244580539365E-4	1.54267124916346E-4
7943.28234724282	-1.2470207187224E-4	1.46734622272413E-4	-1.05144248938731E-4	1.47212273067097E-4	-1.09497285158253E-4	1.34587793345024E-4	-1.01176473275601E-4	1.46246484706373E-4	-1.56790639851379E-4	1.31528000991926E-4	-5.96819551506121E-5	1.01801345602051E-4	-8.70087338520641E-5	1.01295035078563E-4	-1.48642452735809E-4	1.30409017479205E-4	-1.67674203857839E-4	1.4269811155857E-4
6309.57344480194	-8.40373505160983E-5	1.22481299876751E-4	-7.4859063225978E-5	1.04446763924305E-4	-7.06714022856218E-5	9.80831707307444E-5	-1.08381824081587E-4	8.65650029352427E-5	-8.08124745457179E-5	9.0774899635149E-5	-8.42591956321814E-5	7.80199274743624E-5	-9.44543532263812E-5	8.99583811993274E-5	-2.59750838408339E-5	6.9966173875746E-5	-8.59004362760756E-5	7.48801258583291E-5
5011.87233627273	-6.2725445116388E-5	8.83347798995332E-5	-5.84869766654613E-5	8.61368639755752E-5	-5.55998925515956E-5	4.26264057493988E-5	-4.77379030869761E-5	3.89888493216658E-5	-4.67104845548866E-5	6.16531931145629E-5	-7.02319082416615E-5	5.27425655034671E-5	-6.64182822458206E-5	3.82510126251985E-5	-5.12204415095765E-5	1.33184372459547E-7	-7.08545425009156E-5	3.05448669607119E-5
3981.07170553498	-3.6973231620503E-5	8.09031515839322E-5	-3.17627634878821E-5	6.83322745741918E-5	-5.41937491895159E-5	4.99809108135201E-5	-2.89461377925137E-5	3.62012818352875E-5	-5.31317493294728E-5	5.59496113364845E-6	-3.97105458662234E-5	1.97124368535667E-5	-4.84319316787174E-5	4.40892973397822E-5	-7.25643960890842E-5	8.10234585550502E-6	-5.66062455818762E-5	-2.29510402177859E-5
3162.27766016838	-2.69782641433163E-5	5.56173889473851E-5	-3.31501675992401E-5	5.41837713013231E-5	-4.48491596732227E-5	1.85512942234071E-5	-2.60952349793019E-5	3.10701244351792E-5	-3.3597728699759E-5	5.68725293077476E-6	-3.93850628037513E-5	8.57026814873006E-6	-2.65336413739553E-5	8.12811911527058E-7	-4.65550574330227E-5	-4.23321324041464E-5	-3.21968474750565E-5	-4.24784056078795E-5
2511.88643150958	-1.03584446100704E-5	5.90643662409836E-5	-2.56375368125832E-5	4.52452176185033E-5	-2.47303259845049E-5	-8.21820260288813E-7	-2.78374712707111E-5	-2.04738079991251E-5	-2.64374859504459E-5	-1.30703542608581E-5	-5.18070725096484E-5	7.10611242473751E-6	-2.70209730467455E-5	-3.85083154007094E-5	-3.81886734720312E-5	-3.18232190977259E-5	-5.59811243163077E-5	-7.58056713546851E-5
1995.26231496888	-6.45628860290216E-6	2.00161843922881E-5	-4.29676409847335E-5	4.9947968078124E-5	-1.07711635186252E-5	-8.86621185801408E-6	-3.17159297845088E-5	-1.8049410353375E-5	-3.60868914045134E-5	-2.10201997991807E-5	-2.53812280008105E-5	-3.70167280696542E-5	-3.48610413447369E-5	-4.06488931857352E-5	-2.88879681692343E-5	-7.29894650876893E-5	-4.87271748087771E-5	-8.76078399110016E-5
